id,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree
1,1,False,1,0,0,0,0,1.0,1.0,False
3,1,False,1,0,0,0,0,1.0,10.0,False
4,1,False,0,0,0,1,4,1.0,1.0,False
7,1,False,1,0,0,0,0,0.0,1.0,True
8,1,True,1,0,0,0,14,1.0,6.0,False
9,1,False,1,0,0,0,3,1.0,1.0,False
10,1,True,1,0,0,0,0,1.0,3.0,True
14,1,True,0,0,0,0,0,1.0,1.0,False
15,1,False,0,0,0,0,3,0.0,4.0,True
16,1,True,1,0,0,0,0,0.0,1.0,True
18,1,False,1,0,0,0,0,1.0,1.0,False
19,1,True,1,0,0,0,1,20.0,14.0,False
20,1,False,1,0,0,0,7,22.0,3.0,False
21,1,False,1,0,0,0,0,0.0,0.0,True
22,0,False,0,0,0,0,3,1.0,1.0,False
23,1,True,1,0,0,0,6,1.0,1.0,False
24,1,True,1,0,0,0,5,1.0,1.0,False
25,1,False,1,0,0,0,13,1.0,1.0,False
26,0,False,0,0,0,0,1,1.0,3.0,False
27,1,True,0,0,0,0,0,0.0,0.0,True
28,1,True,0,0,0,0,0,2.0,1.0,False
30,1,False,0,0,0,0,1,0.0,1.0,False
32,1,True,1,0,0,0,1,1.0,1.0,True
33,1,False,1,0,0,0,0,1.0,2.0,True
37,1,False,0,0,0,0,8,1.0,17.0,False
39,1,False,0,0,0,1,5,1.0,1.0,False
40,0,False,1,0,0,0,0,0.0,38.0,False
41,0,True,0,0,0,0,9,0.0,44.0,False
42,0,False,1,0,0,0,4,1.0,1.0,False
45,1,True,1,0,0,0,0,1.0,2.0,False
50,1,False,1,0,0,0,7,1.0,4.0,False
52,1,True,1,0,0,0,4,1.0,11.0,True
53,1,True,0,0,0,0,1,0.0,1.0,True
54,0,False,1,2,1,3,21,0.0,33.0,False
55,1,True,0,0,0,0,0,0.0,0.0,True
56,0,False,0,0,0,0,2,1.0,80.0,False
57,1,False,1,0,0,0,2,1.0,1.0,True
59,1,True,0,0,0,0,2,1.0,1.0,True
61,1,False,1,0,0,0,7,1.0,2.0,False
64,1,False,0,0,0,0,0,0.0,0.0,False
66,0,True,0,0,0,0,9,1.0,7.0,True
67,0,False,1,1,0,4,13,1.0,1.0,False
68,1,True,1,0,0,0,0,0.0,0.0,True
70,1,False,0,0,0,0,0,0.0,0.0,False
71,1,True,0,0,0,0,1,24.0,0.0,False
72,1,False,0,0,0,0,0,1.0,1.0,False
79,1,False,1,0,0,1,15,1.0,136.0,False
80,1,False,0,0,0,0,2,1.0,2.0,False
83,1,False,0,0,0,0,0,0.0,23.0,True
84,1,False,1,0,0,0,4,1.0,1.0,True
85,1,True,1,0,0,0,8,13.0,13.0,False
87,1,False,1,0,0,0,5,1.0,1.0,False
90,0,False,0,1,1,2,15,1.0,1.0,False
91,1,True,1,0,0,0,4,1.0,2.0,True
93,1,False,0,0,0,1,1,1.0,1.0,False
96,0,False,0,0,0,0,4,1.0,19.0,False
97,1,False,1,0,0,0,0,0.0,0.0,True
98,1,False,0,0,1,0,6,0.0,30.0,False
99,1,False,1,0,0,0,0,1.0,1.0,True
100,1,False,1,0,0,0,0,0.0,3.0,True
101,1,False,1,0,0,0,6,1.0,242.0,False
102,1,False,0,0,0,0,1,1.0,1.0,False
105,1,False,1,0,0,0,1,1.0,5.0,True
107,1,False,0,0,0,0,5,0.0,1.0,False
108,1,True,0,0,0,1,1,1.0,14.0,False
111,1,False,1,0,0,0,2,15.0,3.0,False
113,1,False,0,0,0,0,1,0.0,17.0,True
114,0,True,0,0,0,0,0,1.0,58.0,False
115,1,False,0,0,0,0,1,1.0,2.0,False
119,1,False,1,0,0,0,0,1.0,1.0,False
120,1,False,1,0,0,0,1,1.0,2.0,True
122,0,False,0,0,0,0,8,1.0,1.0,True
