id,decile_score,Race,age,juv_fel_count,juv_misd_count,c_charge_degree,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,sex
1,1,Non-White,1,0,0,F,0,0,1.0,1.0,Male
3,3,Non-White,1,0,0,F,0,0,1.0,10.0,Male
4,4,Non-White,0,0,0,F,1,4,1.0,1.0,Male
7,1,Non-White,1,0,0,M,0,0,0.0,1.0,Male
8,6,White,1,0,0,F,0,14,1.0,6.0,Male
9,4,Non-White,1,0,0,F,0,3,1.0,1.0,Male
10,1,White,1,0,0,M,0,0,1.0,3.0,Female
14,4,White,0,0,0,F,0,0,1.0,1.0,Male
15,6,Non-White,0,0,0,M,0,3,0.0,4.0,Male
16,1,White,1,0,0,M,0,0,0.0,1.0,Female
18,4,Non-White,1,0,0,F,0,0,1.0,1.0,Male
19,1,White,1,0,0,F,0,1,20.0,14.0,Female
20,3,Non-White,1,0,0,F,0,7,22.0,3.0,Male
21,1,Non-White,1,0,0,M,0,0,0.0,0.0,Male
22,10,Non-White,0,0,0,F,0,3,1.0,1.0,Male
23,5,White,1,0,0,F,0,6,1.0,1.0,Male
24,3,White,1,0,0,F,0,5,1.0,1.0,Male
25,6,Non-White,1,0,0,F,0,13,1.0,1.0,Male
26,9,Non-White,0,0,0,F,0,1,1.0,3.0,Male
27,2,White,0,0,0,M,0,0,0.0,0.0,Male
28,4,White,0,0,0,F,0,0,2.0,1.0,Female
30,4,Non-White,0,0,0,F,0,1,0.0,1.0,Male
32,1,White,1,0,0,M,0,1,1.0,1.0,Male
33,3,Non-White,1,0,0,M,0,0,1.0,2.0,Male
37,3,Non-White,0,0,0,F,0,8,1.0,17.0,Male
39,7,Non-White,0,0,0,F,1,5,1.0,1.0,Male
40,10,Non-White,1,0,0,F,0,0,0.0,38.0,Male
41,9,White,0,0,0,F,0,9,0.0,44.0,Male
42,8,Non-White,1,0,0,F,0,4,1.0,1.0,Male
45,1,White,1,0,0,F,0,0,1.0,2.0,Male
50,3,Non-White,1,0,0,F,0,7,1.0,4.0,Male
52,5,White,1,0,0,M,0,4,1.0,11.0,Female
53,2,White,0,0,0,M,0,1,0.0,1.0,Male
54,9,Non-White,1,2,1,F,3,21,0.0,33.0,Male
55,2,White,0,0,0,M,0,0,0.0,0.0,Male
56,8,Non-White,0,0,0,F,0,2,1.0,80.0,Female
57,1,Non-White,1,0,0,M,0,2,1.0,1.0,Male
59,2,White,0,0,0,M,0,2,1.0,1.0,Male
